ICD10;AirP;AQHI;SA;CO;SC;O3;SO;PM2.5;SP;AQHIX;SX;NO2;SN;O3H8;SH;SO2;SS;LAG
C00 - D48;All: LAG 0;0.03366061;0.007455425;0.178249804;0.067116671;-4.41E-03;9.17E-04;0.001159237;0.000946758;3.10E-02;5.03E-03;7.37E-03;8.71E-04;-0.000349665;0.000588833;0.004088494;0.004637266;0
C00 - D48;Female;0.03423926;0.007959591;0.204863674;0.07162755;-5.16E-03;9.78E-04;0.00132388;0.00100964;3.25E-02;5.38E-03;7.82E-03;9.30E-04;-0.00046461;0.000629205;0.006712455;0.004950124;0
C00 - D48;Male;0.03304106;0.008196653;0.14838113;0.07380314;-0.003562001;0.001008571;0.000976658;0.00104188;2.93E-02;5.53E-03;6.88E-03;9.59E-04;-0.000219625;0.000646555;0.001154163;0.005097131;0
C00 - D48;Warm All;0.022854887;0.006242584;2.90E-01;7.36E-02;-0.001014757;0.000742412;-0.000239745;0.000894452;2.05E-02;4.17E-03;6.61E-03;8.94E-04;0.000297954;0.000417342;0.011005673;0.004749559;0
C00 - D48;Warm Female;0.019451118;0.006860726;3.30E-01;8.09E-02;-0.001811514;0.00081406;-0.000740098;0.000982502;2.00E-02;4.58E-03;6.80E-03;9.83E-04;0.000121015;0.000458182;0.00956736;0.005242991;0
C00 - D48;Warm Male;0.026697173;0.006999316;0.245512981;0.082609915;-0.000114084;0.000834077;0.000323683;0.0010033;2.09E-02;4.67E-03;6.39E-03;1.00E-03;0.000498291;0.00046842;0.01260387;0.005298795;0
C00 - D48;Cold All;0.04831115;0.008796134;0.12091022;0.06390529;-9.42E-03;1.13E-03;0.00271379;0.000998459;4.54E-02;6.02E-03;7.71E-03;8.60E-04;-0.002168808;0.00098565;0.000530325;0.004584651;0
C00 - D48;Cold Female;0.05440198;0.009195046;0.13907417;0.06693022;-9.99E-03;1.18E-03;0.003445271;0.001043415;4.98E-02;6.30E-03;8.30E-03;9.00E-04;-0.001937413;0.001033621;0.00566552;0.004788867;0
C00 - D48;Cold Male;0.04144902;0.009565498;0.10064685;0.06933613;-8.78E-03;1.23E-03;0.001888077;0.00108589;4.05E-02;6.54E-03;7.04E-03;9.36E-04;-0.002427655;0.00106798;-0.005293541;0.00498739;0
C00 - D48;Age 0-10 All;0.02940482;0.03247838;0.1076668;0.2852405;0.000942105;0.003982998;0.002137982;0.004137155;0.01510939;0.02227819;0.003237587;0.00383282;0.000153709;0.002597136;-0.004990008;0.019671575;0
C00 - D48;Age 0-10 Female;-0.03225049;0.04102951;0.06187049;0.35679265;-0.006754624;0.004919853;-0.00271997;0.005402695;-0.03097321;0.02801468;-3.83E-05;4.86E-03;-0.007607775;0.003213646;-0.00296221;0.02472754;0
C00 - D48;Age 0-10 Male;0.08850697;0.03915818;0.1692319;0.3466831;0.008475383;0.004921933;0.006318149;0.004839713;0.05978951;0.0269816;0.006534522;0.004605661;0.007933097;0.003206222;-0.00595128;0.02381787;0
C00 - D48;Age 11-60 All;0.03482067;0.008233413;0.14546791;0.07418775;-4.93E-03;1.02E-03;0.001215661;0.001047082;3.24E-02;5.56E-03;7.78E-03;9.60E-04;-0.000483373;0.000653465;0.004336639;0.005081564;0
C00 - D48;Age 11-60 Female;0.032042848;0.009009646;0.16295399;0.08096167;-5.43E-03;1.11E-03;0.001007788;0.001143897;3.06E-02;6.09E-03;7.72E-03;1.05E-03;-0.000886313;0.000714965;0.006315405;0.005544691;0
C00 - D48;Age 11-60 Male;0.039623843;0.010218842;0.11562413;0.09243575;-0.004066836;0.001264286;0.001578315;0.001302279;3.55E-02;6.89E-03;7.90E-03;1.19E-03;0.000206342;0.000810477;0.000986675;0.00633268;0
C00 - D48;Age 60+All;0.03294773;0.007933025;0.203453518;0.071370618;-4.08E-03;9.73E-04;0.001110752;0.001006007;3.02E-02;5.36E-03;7.12E-03;9.29E-04;-0.000248754;0.000624036;0.004038551;0.00496336;0
C00 - D48;Age 60+ Female;0.0374792;0.009050308;0.250476952;0.081586568;-4.84E-03;1.11E-03;0.001705336;0.001146003;3.54E-02;6.11E-03;8.03E-03;1.06E-03;6.16E-05;7.13E-04;0.007318229;0.00569111;0
C00 - D48;Age 60+ Male;0.029188625;0.008838247;0.16453005;0.07938381;-0.003434484;0.001084126;0.000617155;0.001121922;2.59E-02;5.97E-03;6.37E-03;1.04E-03;-0.000507004;0.000694701;0.001348618;0.005505302;0
C00 - D48;All: LAG 1;0.022359271;0.007508261;0.06161768;0.06675935;-0.001582844;0.000912298;0.001165243;0.000935069;2.08E-02;5.11E-03;4.07E-03;8.93E-04;0.000806986;0.000593988;0.001863912;0.004652459;1
C00 - D48;Female;0.021068201;0.008021704;0.05915542;0.07116004;-0.001864857;0.000975024;0.001253569;0.00099759;0.020115658;0.005467189;3.98E-03;9.55E-04;0.000738317;0.000635525;0.002586196;0.004979214;1
C00 - D48;Male;0.023828493;0.008244514;0.06434555;0.07348778;-0.001265379;0.00100123;0.00107004;0.001028243;0.021553607;0.005613717;4.18E-03;9.81E-04;0.00088591;0.000651113;0.001062598;0.005098001;1
C00 - D48;Warm All;0.017783943;0.006312309;0.263583787;0.073691143;0.001256141;0.000736831;0.001388069;0.0008831;0.013500264;0.004264353;0.002425763;0.000926238;0.001233127;0.000422131;0.007409392;0.004793272;1
C00 - D48;Warm Female;0.016186632;0.006926917;0.282775485;0.080798531;0.000594747;0.000808438;0.001327795;0.000967141;0.013303641;0.00468321;0.002706118;0.001017061;0.001048865;0.000463538;0.005506694;0.005284904;1
C00 - D48;Warm Male;0.019605373;0.007089034;0.241743294;0.082853006;0.001998657;0.000827384;0.001463066;0.000993839;0.013740641;0.004785113;0.002116149;0.001039417;0.001441326;0.000473691;0.009521429;0.005353351;1
C00 - D48;Cold All;0.029955194;0.008854685;-0.02849411;0.06351973;-5.93E-03;1.13E-03;0.001510652;0.000991666;3.11E-02;6.08E-03;5.02E-03;8.79E-04;-0.000317722;0.00098886;-0.000423184;0.004590944;1
C00 - D48;Cold Female;0.029448663;0.009288193;-0.03913716;0.06652124;-5.67E-03;1.19E-03;0.001745608;0.001039545;3.00E-02;6.38E-03;4.76E-03;9.22E-04;2.42E-05;1.04E-03;0.002035387;0.004819345;1
C00 - D48;Cold Male;0.030517338;0.009585449;-0.01606351;0.06888668;-6.23E-03;1.22E-03;0.001248512;0.001074133;3.22E-02;6.59E-03;5.32E-03;9.51E-04;-0.000699499;0.001066333;-0.003182301;0.004965081;1
C00 - D48;Age 0-10 All;0.05589462;0.03270429;0.3424383;0.2805997;-0.000858895;0.004123858;0.004180562;0.004108082;0.04055295;0.02217296;0.007605445;0.003855142;0.001952801;0.002622627;-0.03112764;0.02054602;1
C00 - D48;Age 0-10 Female;0.01598147;0.04175069;0.3602244;0.3491709;-0.00975798;0.005161781;0.00495519;0.005155363;0.0165746;0.02846006;0.005825506;0.004954374;-0.002165451;0.003299669;-0.00043771;0.025196444;1
C00 - D48;Age 0-10 Male;0.09322109;0.03902199;0.336822;0.3428447;0.007608578;0.005035371;0.003548515;0.004979437;0.06309536;0.0263541;0.0094626;0.004577009;0.005904251;0.00318052;-0.06037513;0.02558151;1
C00 - D48;Age 11-60 All;0.015918219;0.008304286;-0.03022642;0.07391363;-0.001356154;0.001010838;0.000641102;0.001034317;0.01623841;0.005656227;0.003120835;0.000987089;0.000700293;0.000658869;0.002554564;0.005114844;1
C00 - D48;Age 11-60 Female;0.012678736;0.009074974;-0.05601713;0.08058798;-0.001171672;0.001106009;0.000391304;0.00112944;0.013373399;0.006185204;0.002605053;0.001079425;0.000546297;0.00072038;0.003504957;0.005596478;1
C00 - D48;Age 11-60 Male;0.02146887;0.01031365;0.01394923;0.09216337;-0.001659519;0.001252879;0.001072541;0.001286201;0.021106582;0.007018729;0.003995502;0.001224877;0.000963687;0.000817631;0.000940671;0.006338594;1
